"10:26","Kulturministeren (Mette Bock):","Der er tale om en omprioritering, men det er også indlysende, at der er blevet færre penge. Det er fuldstændig lysende klart. Altså, det kan enhver jo gå ind og forvisse sig om. Så det er meget enkelt at svare på. LINEBREAK ","41"
"10:40","Bertel Haarder (V):","Jeg vil bare spørge Socialdemokratiets ordfører, om han kan bekræfte, at Socialdemokratiet på trods af de forståelige beklagelser og klagesange, som ordføreren her viderebringer til Folketinget, ikke vil rette op på det, der er sket i fortiden. Kan ordføreren bekræfte det? LINEBREAK ","41"
"10:43","Alex Ahrendtsen (DF):","Tak. For at konkludere: Under en eventuel socialdemokratisk ledet regering fortsætter omprioriteringsbidraget, men i et mindre omfang, altså 0,5 pct. i stedet for 2 pct. Samtidig vil Socialdemokratiet så også afsætte 100 mio. kr. til at styrke kulturen, så vidt jeg har forstået. Hvor skal de penge, de 100 mio. kr., komme fra? LINEBREAK ","53"
"11:00","Alex Ahrendtsen (DF):","Skal vi ikke tage en ting ad gangen? Jeg er sikker på, at regeringen har hørt, hvad Dansk Folkeparti har sagt til os, og jeg er sikker på, at de har læst vores finanslovsudspil på kulturområdet, og jeg tror på de gode viljer. Hvis det viser sig ikke at holde stik, må vi så eventuelt tale sammen bagefter. LINEBREAK ","58"
"11:11","Mogens Jensen (S):","Tak. Jeg synes bare, at jeg vil kvittere for et klart svar fra hr. Bertel Haarder om, at det forslag, som jeg nævnte her, ser hr. Bertel Haarder heller ikke som en farbar vej, fordi det faktisk er vigtige indsatsområder – også til at præsentere dansk sprog, danske værdier og dansk kultur i udlandet. Så jeg takker for svaret. LINEBREAK ","59"
"11:11","Christian Juhl (EL):","Jeg vil gerne høre, om hr. Bertel Haarder mener, at omprioriteringsbidraget skal fortsætte, og om han mener, at det er forkert at kalde en øvelse, hvor man tager 539 mio. kr. og kun leverer 400 mio. kr. tilbage, en nedskæring. LINEBREAK ","40"
"13:23","Jakob Sølvhøj (EL):","Jeg glæder mig meget over ordførerens indlæg. Jeg vil egentlig blot høre, hvis det mod forventning ikke lykkes at skabe flertal for forslaget her i den her samling, om det så er Socialdemokratiets opfattelse, at et nyt flertal i Folketinget kan vedtage det her forslag, uden at man først har opsagt folkeskoleforliget. LINEBREAK ","52"
"14:37","Lotte Rod (RV):","Når regeringen sparer på uddannelse, og uddannelsesinstitutionerne derfor er nødt til at fyre lærere, så tror jeg, at det betyder, at der er mindre tid til feedback, når man f.eks. har afleveret en opgave. Hvad tror ministeren det betyder, når man på et gymnasium fyrer lærere? LINEBREAK ","46"
"15:33","Rasmus Horn Langhoff (S):","Nu fik ordføreren jo et fantastisk flot valg ved folketingsvalget: 5.573 personlige stemmer alene hjemme i baghaven plus alt det løse rundtomkring. Kan der være et par af de mennesker, som har stemt personligt på ordføreren, som forventer at ordføreren beskytter de lokale gymnasier i stedet for at slagte de lokale gymnasier? LINEBREAK ","52"
"16:00","Carolina Magdalene Maier (ALT):","Nu er det jo meget sjovt, når det er mig, der er på talerstolen. Men med stolthed kan jeg sige, at vi har et punkt her, der hedder klimaafgift på flyrejser. Det er faktisk beregnet til at give os 5 mia. kr. over en 4-årig periode i skatteindtægter. Så det gælder også, når vi flyver. LINEBREAK ","55"
"16:04","Henrik Dahl (LA):","Tak for talen. Jeg har bare et opklarende spørgsmål, som sikkert er nemt at svare på. Det er: Hvorfor tvang Radikale Venstre i 2011 sine samarbejdspartnere S og SF til at overtage, og jeg citerer »VK-regeringens økonomiske politik i bredeste forstand«, hvis den var så dårligt, som fru Lotte Rod lige har sagt? LINEBREAK ","53"
"16:05","Henrik Dahl (LA):","Jamen når nu den førte politik var så ualmindelig ringe, som fru Lotte Rod siger, ville det da være nærliggende at komme med sin egen økonomiske politik. Men i stedet for overtog man VK-regeringens økonomiske politik i bredeste forstand. Det er altså meget, meget svært at forstå inden for rammerne af en saglig debat. LINEBREAK ","54"
"16:05","Lotte Rod (RV):","Venstre, tror jeg, var op igennem regeringstiden jo godt klar over, at det var nødvendigt at lave økonomiske reformer, og alligevel gjorde man intet. Man ventede og ventede indtil sidste øjeblik. Prøv at tænke på, hvilken stærkere økonomi vi kunne have haft, hvis Venstre havde lavet reformer i tide. LINEBREAK ","49"
"16:20","Lotte Rod (RV):","Det er sådan set det, forespørgslen handler om, og jeg havde bare lidt svært ved at lytte mig til, at ministeren fortalte noget om det i sin første besvarelse. Så vil jeg bare gerne give ministeren muligheden igen. Altså, hvad mener ministeren at regeringens besparelser betyder for antallet af undervisningstimer og studiemiljøet og de studerendes trivsel? LINEBREAK ","56"
"16:37","Uddannelses- og forskningsministeren (Tommy Ahlers):","Det er det, vi har fremlagt, synes vi, med finanslovsforslaget, og de midler, der er sat af til hver enkelt institution over de næste 3 år. Det synes vi er de rigtige vilkår ud fra den samlede prioritering, vi har lavet. LINEBREAK ","41"
"17:10","Jens Henrik Thulesen Dahl (DF):","Men det fører mig jo så til det næste spørgsmål. Hvis vi er enige om det og om, at der er en udfordring der, hvad er så hr. Henrik Dahls løsning på, hvordan vi kommer videre og får løst nogle problemer og får taget fat på det? LINEBREAK ","47"
