"10:17","Rasmus Nordqvist (ALT):","Tak for det. Så det vil sige, at der er fuldstændig klarhed hos ordføreren over, hvad det er, der træder i kraft på de forskellige kompetenceniveauer. Eller deler ordføreren min fortsatte forvirring om, præcis hvilke kompetencer der gælder i hvilke dele af den her aftale? LINEBREAK ","45"
"10:30","Finn Sørensen (EL):","Tak. Det virker lidt selvmodsigende. Man tager et forbehold, men mener sådan set ikke, at der er nogen grund til bekymring. Altså, kan ordføreren ikke forklare sammenhængen i det? Er det svenskerne og finnerne, der er lidt dumme og ikke rigtig har forstået det – eller hvad? LINEBREAK ","47"
"10:48","Rasmus Nordqvist (ALT):","Jamen er det ikke hele pointen? Vi kan ikke få svar på, hvad der ligger i EU-kompetence, delt kompetence og national kompetence, for man ved det jo ikke. Er det ikke hele pointen, når man netop læser svarene igennem fra ministeren, at vi ikke har noget overblik over, hvad der ligger i de tre forskellige kompetenceniveauer? LINEBREAK ","56"
"11:17","Jan E. Jørgensen (V):","Til hr. Rasmus Nordqvist vil jeg bare stille det spørgsmål: Har Alternativet et konkret punkt, hvor man mener at den her aftale går ind på vores enekompetence som nation, og hvor regeringen har en anden opfattelse? Altså, er der et konkret bekymringspunkt, eller er det mere sådan en teoretisk, filosofisk bekymring, man har? LINEBREAK ","53"
"11:43","Søren Søndergaard (EL):","Det kan jeg svare klart på: Det kan jeg ikke svare på. For i modsætning til Enhedslisten har jeg ikke siddet i Folketinget i 22 år, og jeg er simpelt hen ikke i stand til at svare på spørgsmål om Enhedslistens stillingtagen til alle frihandelsaftaler, inklusive i de trods alt over 10 år, hvor jeg ikke var medlem af Folketinget. LINEBREAK ","60"
"11:47","Søren Søndergaard (EL):","Jeg synes, at vi skal bevare arbejdsdelingen, og jeg synes, at vi skal stille ministeren det spørgsmål, for så får vi det jo med henvisning til protokol og det hele. Så kan vi jo i samme forbindelse spørge om, hvor mange gange Venstre og Liberal Alliance har stemt imod en frihandelsaftale, så vi får det komplette billede. LINEBREAK ","57"
"11:52","Christina Egelund (LA):","Tak. Jeg vil bede ordføreren om at sætte nogle ord på, hvordan ordføreren mener det vil påvirke EU's troværdighed som forhandlingspartner ved globale frihandelsaftaler, hvis man skulle gøre, som Alternativet her foreslår, nemlig at løbe fra en del af aftalen. LINEBREAK ","40"
"11:53","Søren Søndergaard (EL):","Altså, jeg kan henholde mig fuldstændig til det, hr. Rasmus Nordqvist svarede på præcis det samme spørgsmål tidligere i debatten. Jeg er fuldstændig overbevist om, at den nye canadiske premierminister vil have forståelse for, at der eksisterer et demokratisk system i Europa, og det demokratiske system må man selvfølgelig respektere. LINEBREAK ","50"
"13:18","Christian Poll (ALT):","Det må jeg lige have uddybet. Hvordan mener ordføreren man trækker produktion til Danmark i den her sammenhæng? Er det blot, fordi man har lidt lavere priser? Er det bare den vinkel? Så er det jo en modelberegning, som kan have store usikkerheder. LINEBREAK ","43"
"13:30","Carsten Bach (LA):","Nej, det er klart, at man med statslige, skatteborgerbetalte støttekroner subsidierer og støtter en specifik branche og derved skaber unaturlig vækst. Det sætter jeg ikke noget spørgsmålstegn ved. Men der er heller ikke noget spørgsmålstegn ved, at det er statslige støttekroner, der bliver pøset i de her brancher. LINEBREAK ","48"
